SINONIMIA,MEDICAMENTO
AMERICAN BALD EAGLE S BLOOD                       ,HALIAEETUS LEUCOCEPHALUS
AMERICAN COCKROACH                                ,BLATTA AMERICANA
AMETISTA                                          ,AMETHYST
AMIGDALA                                          ,AMYGDALAS
AMIGDALA LINGUAL                                  ,AMYGDALAS
AMIGDALA PALATINA                                 ,AMYGDALAS
AMILASE (H)                                       ,AMYLASE
AMINOBENZOL                                       ,ANILINUM
AMIODARONA (H)                                    ,AMIODARONA CLORIDRATO
AMIODARONA HCL (H)                                ,AMIODARONA CLORIDRATO
AMITRIPTILINA CLORIDRATO (H)                      ,AMITRIPTILINA
AMMONIACUM                                        ,DOREMA AMMONIACUM
AMMONIACUM DOREMA                                 ,DOREMA AMMONIACUM
AMMONIACUM GUMMI                                  ,DOREMA AMMONIACUM
AMMONIAE PHOSPHAS                                 ,AMMONIUM PHOSPHORICUM
AMMONIAE SESQUICARBONAS                           ,AMMONIUM CARBONICUM
AMMONII BENZOAS                                   ,AMMONIUM BENZOICUM
AMMONII BROMIDUM                                  ,AMMONIUM BROMATUM
AMMONII CARBONAS                                  ,AMMONIUM CARBONICUM
AMMONII CARBONAS OFFICINALIS                      ,AMMONIUM CARBONICUM
AMMONII CAUSTICI                                  ,AMMONIUM CAUSTICUM
AMMONII CHLORIDUM                                 ,AMMONIUM MURIATICUM
AMMONII PHOSPHAS                                  ,AMMONIUM PHOSPHORICUM
AMMONII PICRAS                                    ,AMMONIUM PICRICUM
AMMONII TARTRAS                                   ,AMMONIUM TARTARICUM
AMMONII VALERIANAS                                ,AMMONIUM VALERIANICUM
AMMONIUM                                          ,AMMONIUM CARBONICUM
AMMONIUM ARS                                      ,AMMONIUM ARSENICOSUM
AMMONIUM BENZ                                     ,AMMONIUM BENZOICUM
AMMONIUM BROMIDUM                                 ,AMMONIUM BROMATUM
AMMONIUM BROMIDUM ALLEN                           ,AMMONIUM BROMATUM
AMMONIUM CARB                                     ,AMMONIUM CARBONICUM
AMMONIUM CARBAZOTICUM                             ,AMMONIUM PICRICUM
AMMONIUM CAUSTICUM IN AQUA                        ,AMMONIUM CAUSTICUM
AMMONIUM CHLORATUM                                ,AMMONIUM MURIATICUM
AMMONIUM CHLORIDUM                                ,AMMONIUM MURIATICUM
AMMONIUM FLUOR                                    ,AMMONIUM FLUORATUM
AMMONIUM HYDROCHLORICUM                           ,AMMONIUM MURIATICUM
AMMONIUM HYDROCHLORUM                             ,AMMONIUM MURIATICUM
AMMONIUM JODATUM                                  ,AMMONIUM IODATUM
AMMONIUM JODIDUM                                  ,AMMONIUM IODATUM
AMMONIUM MUR                                      ,AMMONIUM MURIATICUM
AMMONIUM PHOSPH                                   ,AMMONIUM PHOSPHORICUM
AMMONIUM PICRATUM                                 ,AMMONIUM PICRICUM
AMMONIUM PICRINICUM                               ,AMMONIUM PICRICUM
AMMONIUM SULFOICHTHYOLICUM                        ,ICHTHYOLUM
AMMONIUM SULPH                                    ,AMMONIUM SULPHURICUM
AMMONIUM VAL                                      ,AMMONIUM VALERIANICUM
AMODYNUM                                          ,ANTIPYRINUM
AMOMUM ZINZIBER                                   ,ZINZIBER OFFICINALE
AMOR DO CAMPO                                     ,DESMODIUM BARBATUM
AMORA (H)                                         ,MORUS NIGRA
AMPELOPSIS HEDERACEA                              ,AMPELOPSIS QUINQUEFOLIA
AMPELOPSIS HEPTAPHYLLA                            ,AMPELOPSIS QUINQUEFOLIA
AMPELOPSIS HIRSUTA                                ,AMPELOPSIS QUINQUEFOLIA
AMPHISBOENA VERMICULARIS                          ,AMPHISBOENA
AMPICILINA (H)                                    ,AMPICILINA ISOTERAPICO
AMYGDALUS AMARA                                   ,AMYGDALAE AMARAE
AMYGDALUS COMMUNIS                                ,AMYGDALAE AMARAE
AMYGDALUS SYLVESTRIS                              ,AMYGDALAE AMARAE
AMYL NITRIS                                       ,AMYLIUM NITROSUM
AMYL NITROSUM                                     ,AMYLIUM NITROSUM
AMYLAETHER NITROSUS                               ,AMYLIUM NITROSUM
AMYLENUM NITROSUM                                 ,AMYLIUM NITROSUM
AMYRIS ELEMIFERA                                  ,PTELEA TRIFOLIATA
ANACARDIUM                                        ,ANACARDIUM ORIENTALE
ANACARDIUM LATIFOLIUM                             ,ANACARDIUM ORIENTALE
